parentApplication,parentApplicationId,parentApplicationSelfLink,name,id,globalAppId,status,health,activeAlerts,enhancedAnalytics,deploymentType,tenantName,applicationName,target,hostname,destinationTarget,destinationHostname,newApplicationName
nbcu-7048225 - Perimeter,cece476a-a0b8-3915-8ecb-7ea3e806ea0d,https://localhost/mgmt/cm/global/global-apps/cece476a-a0b8-3915-8ecb-7ea3e806ea0d,gns-7048227-oproxy_f5dns.oproxy.glb.stg-tfayd.com,ae1af072-5b2f-36ae-992b-603a3092358e,cece476a-a0b8-3915-8ecb-7ea3e806ea0d,DEPLOYED,Good,0,FALSE,AS3,gns-7048227-oproxy,f5dns.oproxy.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7048225 - Perimeter,cece476a-a0b8-3915-8ecb-7ea3e806ea0d,https://localhost/mgmt/cm/global/global-apps/cece476a-a0b8-3915-8ecb-7ea3e806ea0d,gns-7048225_f5dns.engorlsrv0027.glb.tfayd.com,ad11e372-cb03-3439-a75d-5d0204f0cb95,cece476a-a0b8-3915-8ecb-7ea3e806ea0d,DEPLOYED,Critical,2,FALSE,AS3,gns-7048225,f5dns.engorlsrv0027.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-3354050 - Denverconsole,fd4f3395-5990-355c-ae53-09e99e2bd7a7,https://localhost/mgmt/cm/global/global-apps/fd4f3395-5990-355c-ae53-09e99e2bd7a7,gns-3354050_f5dns.denversonsole.glb.tfayd.com,62fbd0a9-20cb-3f22-a24f-0c76d08e10a9,fd4f3395-5990-355c-ae53-09e99e2bd7a7,DEPLOYED,Critical,2,FALSE,AS3,gns-3354050,f5dns.denversonsole.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-dmznet-lbh6.glb.tfayd.com,9f4da619-ac6b-3cbb-a961-32fe03c90a17,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-dmznet-lbh6.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-pcigal-lbvw2.glb.tfayd.com,49986f4a-7938-37d1-9e20-2ddb2c7f6fa7,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-pcigal-lbvw2.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-corpor-lbvw3.glb.tfayd.com,46eb3b6b-659c-3b4c-8ff0-4ee41d818ba6,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-corpor-lbvw3.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-corpor-lbvw5.glb.tfayd.com,8bbd3350-4785-3432-9df2-44612fb553fd,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-corpor-lbvw5.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-dmznet-lbh5.glb.tfayd.com,5e4ad50a-11e1-36d6-a6f0-2525fcef1704,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-dmznet-lbh5.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-corpor-lbvw4.glb.tfayd.com,0cbb5e9e-0320-3c33-a894-201b31f5db23,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-corpor-lbvw4.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-corpor-lbvw6.glb.tfayd.com,25bd4c24-255e-3c9e-8474-af0d96d1d200,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Good,0,FALSE,AS3,gns-2221083,f5dns.ucs-corpor-lbvw6.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-corpor-dns01.glb.tfayd.com,d08cfdd1-577b-3d14-a94d-b34d923f096b,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Critical,2,FALSE,AS3,gns-2221083,f5dns.ucs-corpor-dns01.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-gnzweb-lbvw2.glb.tfayd.com,0d6eabaf-4f0f-32e9-bfe3-acbeab19b00b,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Critical,2,FALSE,AS3,gns-2221083,f5dns.ucs-gnzweb-lbvw2.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2221083 - ADC Universal City,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,https://localhost/mgmt/cm/global/global-apps/742ebb62-a8b4-3ea9-bc8d-919858b5fd47,gns-2221083_f5dns.ucs-1360in-lbvw1.glb.tfayd.com,8c6dc94a-0b28-30b2-8934-f5d55b43c949,742ebb62-a8b4-3ea9-bc8d-919858b5fd47,DEPLOYED,Critical,2,FALSE,AS3,gns-2221083,f5dns.ucs-1360in-lbvw1.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw04-bc.glb.tfayd.com,a25580d3-d1b4-3a41-8fa0-7325f0de37d4,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw04-bc.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-nocws-lb01.glb.tfayd.com,ec316eaa-de58-3706-8341-4827b230422c,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-nocws-lb01.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
