Device,Policy,Version,ApplicationLanguage,ID,Enforcement Mode,Case Insensitive,No dif HTTP/HTTPS,Has parent,Parent policy,Learning mode,Allowed Response StatusCode,ServerTechnologies,Server Technologies Names,Total Signatures,Signatures in staging,Signatures Ready to be Enforced,Signatures not blocked,Signatures disabled,Parameters in staging,Parameters Name in Staging,URLs in staging,URLs Names in Staging,Total suggestions,Cookies in Staging,Cookies Names in Staging,Files in Staging,File Names in Staging,Files Disallowed,OWASP Score,A1-Broken Access Control,A2-Cryptographic Failures,A3-Injection,A4-Insecure Design,A5-Security Misconfiguration,A6-Vulnerable and Outdated Components,A7-Identification and Authentication Failures,A8-Software and Data Integrity Failures,A9-Security Logging and Monitoring Failures,A10-Server-Side Request Forgery (SSRF)
10.155.175.59,policy_demo_ps,2023-11-17T19:30:54Z,iso-8859-2,TXXI-N16Ci26ejkA0Tr8Tg,blocking,True,True,False,N/A,manual,400;401;404;407;417;503,0,N/A,2414,20,20,0,38,3,parameterx;username;*,2,/aap1/demo;/login,0,2,personalcookie;phpsession,4,css;php;no_ext;*,3,1,49,70,83,15,41,0,33,47,0,100
10.155.175.59,test01,2023-11-02T15:10:02Z,iso-8859-6,SMzhDNZF5TANdFiO7Qk5iw,blocking,False,True,False,N/A,manual,400;401;404;407;417;503,0,N/A,2414,2414,2414,0,0,1,*,1,*,0,1,*,1,*,0,0,0,50,0,0,0,0,16,0,0,66
10.155.175.59,policy_13,2023-10-31T22:47:31Z,utf-8,z1ivTgvwRQDL0rCAaImfYA,transparent,False,False,False,N/A,manual,400;401;404;407;417;503,0,N/A,2414,0,0,0,0,3,bla;name;*,3,/asdfa;/app3;/app1,0,1,*,0,N/A,47,1,60,66,84,25,44,0,33,50,0,100
10.155.175.59,policy_12,2023-10-31T22:48:03Z,utf-8,-Y1XKrrW9IZLKOs_zhZ7sA,blocking,False,False,False,N/A,manual,400;401;404;407;417;503,0,N/A,2414,2414,2414,0,0,0,N/A,0,N/A,0,0,N/A,0,N/A,47,0,0,33,0,0,0,0,16,0,0,66
10.155.175.59,policy_11,2023-10-31T22:44:18Z,utf-8,Tz6nTCGUwjIFDBjc64qm3g,blocking,False,False,False,N/A,manual,400;401;404;407;417;503,0,N/A,2414,0,0,0,0,0,N/A,0,N/A,0,1,*,0,N/A,47,1,60,66,84,25,44,0,33,50,0,100
10.155.175.59,policy_10,2023-11-27T19:43:54Z,utf-8,SOn7NHGA70Jy7munMiE6mA,blocking,False,False,False,N/A,manual,400;401;404;407;417;503,0,N/A,4054,3994,3994,6,20,0,N/A,0,N/A,0,1,*,0,N/A,47,0,5,37,0,3,0,0,16,0,0,66
